index;Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes  CCS e SCR;Quantidade de clientes  CCS;Quantidade de clientes  SCR;Unnamed: 14
0;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;0;5;3;8;20209;18725;3175;
1;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);67,19;74;231;55;360;1101269;650657;823093;
2;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;2;0;0;2;370789;134;370655;
3;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);45,83;19;42;30;91;414559;268144;147627;
4;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;27214112;AMAGGI S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;2;2;7735;19;7724;
5;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;0;2;5;7;3723;3722;14;
6;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;11;6;2;19;1163474;1163474; ;
7;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;163,43;39;17;27;83;238631;118222;155136;
8;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;3532415;BANCO ABN AMRO S.A.; ;0;0;1;1;227;194;42;
9;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;54403563;BANCO ARBI S.A.; ;1;0;0;1;11281;2852;8499;
10;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;2658435;BANCO CATERPILLAR S.A.; ;1;0;0;1;2872; ;2872;
11;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;2992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;0;0;1;1;26616;1233;25709;
12;2020;1º;Mais de quatro milhões de clientes;Banco/financeira;8357240;BANCO CSF S.A.;12,43;92;103;107;302;7400252; ;7400252;
13;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;4902979;BANCO DA AMAZONIA S.A.; ;2;3;4;9;509203;448523;153961;
14;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;27098060;BANCO DIGIO S.A.;38,28;49;75;79;203;1279978;4988;1279762;
15;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.;14,64;16;22;18;56;1092642;881025;592611;
16;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;4913711;BANCO DO ESTADO DO PARÁ S.A.;21,82;16;15;20;51;733076;704863;281553;
17;2020;1º;Mais de quatro milhões de clientes;Banco/financeira;7237373;BANCO DO NORDESTE DO BRASIL S.A.;2,25;18;9;32;59;7989745;7402656;2950060;
18;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S.A.; ;1;0;0;1;165324;3889;161868;
19;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;4866275;BANCO INBURSA S.A.; ;1;1;4;6;11309;9;11301;
20;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S.A.; ;1;0;0;1;10401;4834;5948;
21;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;7441209;BANCO MONEO S.A.; ;0;0;1;1;1240;6;1237;
22;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;795423;BANCO SEMEAR S.A.; ;0;1;1;2;260283;2973;257423;
23;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;7679404;BANCO TOPÁZIO S.A.; ;3;1;3;7;21862;16221;8903;
24;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;3215790;BANCO TOYOTA DO BRASIL S.A.; ;5;5;8;18;182525;15287;168415;
25;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S.A.; ;4;11;4;19;1992724;218021;1812373;
26;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;9526594;BANCO VIPAL S.A.; ;0;0;1;1;436;4;432;
27;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;BANCOOB (conglomerado); ;11;15;22;48;3711895;1815691;2252508;
28;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;10264663;BANCOSEGURO S.A.; ;0;3;0;3;192087;190124;1963;
29;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;BANESTES (conglomerado);12,34;16;26;15;57;1295724;1250171;464972;
30;2020;1º;Mais de quatro milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);21,8;109;308;156;573;4998869;3726873;3942057;
31;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;BARIGUI (conglomerado);996,26;28;22;2;52;28105;946;27188;
32;2020;1º;Mais de quatro milhões de clientes;Conglomerado; ;BB (conglomerado);19,07;1258;2203;2590;6051;65965945;62308256;29135213;
33;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;45283173;BBVA BRASIL BANCO DE INVESTIMENTO S.A.; ;0;0;2;2;0; ;0;
34;2020;1º;Mais de quatro milhões de clientes;Conglomerado; ;BMG (conglomerado);82,07;407;500;507;1414;4958841;879930;4738237;
35;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;BMW (conglomerado); ;1;0;3;4;24006;23650;20012;
36;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;BNP PARIBAS (conglomerado);217,64;684;257;198;1139;3142799;13967;3129385;
37;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;BOFA MERRILL LYNCH (conglomerado); ;0;1;2;3;1733;1726;99;
38;2020;1º;Mais de quatro milhões de clientes;Conglomerado; ;BRADESCO (conglomerado);20,54;2045;3472;3631;9148;99546994;88235449;47857038;
39;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;BRB (conglomerado);83,58;76;76;82;234;909295;798559;419305;
40;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;BTG PACTUAL (conglomerado); ;3;4;9;16;368553;258692;110876;
41;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;C6 BANK (conglomerado);41,43;59;155;176;390;1423786;1423497;162426;
42;2020;1º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);21,97;2116;2920;4235;9271;96303277;93660917;20045179;
43;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;9313766;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;2;2;1;5;64401;55868;18531;
44;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado);69,26;18;108;71;197;259864;3857;256605;
45;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;CITIBANK (conglomerado); ;0;2;4;6;23775;19318;5334;
46;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;CREFISA (conglomerado);9,03;16;127;39;182;1770650;649013;1619076;
47;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;DAYCOVAL (conglomerado);64,93;80;336;203;619;1232095;99289;1145817;
48;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;62331228;DEUTSCHE BANK S.A. - BANCO ALEMAO; ;0;1;0;1;3182;3166;167;
49;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;15581638;FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;1.416,17;132;616;10;758;93209;621;92592;
50;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;411939;FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;6;6;100768;1869;98981;
51;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;FINAXIS (conglomerado); ;0;0;1;1;4596;4596; ;
52;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;GAZIN (conglomerado); ;1;0;0;1;40721;280;40473;
53;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;GM (conglomerado); ;4;5;16;25;343782;462;343405;
54;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;GRUPO BONSUCESSO - BS2 (conglomerado);49,57;18;36;37;91;363105;356341;8043;
55;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;GRUPO ZEMA (conglomerado); ;0;2;1;3;406570;559;406012;
56;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;HERVAL - HS (conglomerado); ;2;0;3;5;106808;568;106293;
57;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;HONDA (conglomerado); ;5;6;21;32;486564;72;486527;
58;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado);255,51;16;17;2;35;62618;3949;59218;
59;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;INDUSVAL (conglomerado); ;0;0;1;1;4988;4221;1085;
60;2020;1º;Mais de quatro milhões de clientes;Conglomerado; ;INTER (conglomerado);163,51;780;463;627;1870;4770298;4608315;844557;
61;2020;1º;Mais de quatro milhões de clientes;Conglomerado; ;ITAU (conglomerado);21,66;1785;4353;2980;9118;82378627;62750395;50859239;
62;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;4230630;JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO; ;2;4;2;8;127758; ;127758;
63;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;6040559;KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;1;0;1;260710;4;260706;
64;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;11271860;LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;0;0;1;219567;3;219564;
65;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;LECCA (conglomerado); ;7;0;7;14;27157;1112;26046;
66;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;MÁXIMA (conglomerado); ;7;22;9;38;68831;7999;60969;
67;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;MERCANTIL DO BRASIL (conglomerado);27,6;86;84;67;237;3115392;2625569;1514335;
68;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;MERCEDES-BENZ (conglomerado); ;0;1;0;1;20676;153;20606;
69;2020;1º;Mais de quatro milhões de clientes;Banco/financeira;9464032;MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;5,45;63;108;81;252;11541042;45;11541025;
70;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;MODAL (conglomerado);48,7;28;39;38;105;574846;574799;6411;
71;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;4379829;NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS; ;1;2;0;3;582196;665;581531;
72;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;74828799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO;532,98;39;28;3;70;73173;3091;70510;
73;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;NUBANK (conglomerado); ;1;6;7;14;2733789;2733789;71374;
74;2020;1º;Mais de quatro milhões de clientes;Conglomerado; ;OMNI (conglomerado);7,7;36;37;61;134;4670973;3001;4668407;
75;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ORIGINAL (conglomerado);159,83;443;283;337;1063;2771671;2662878;438394;
76;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;OURINVEST (conglomerado); ;0;1;0;1;47344;33993;13391;
77;2020;1º;Mais de quatro milhões de clientes;Conglomerado; ;PAN (conglomerado);163,38;792;1016;1033;2841;4847503;154276;4758176;
78;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;PARANÁ BANCO (conglomerado);64,51;26;205;81;312;403023;8861;394427;
79;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;43180355;PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;14,43;39;34;25;98;2702654; ;2702654;
80;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;PINE (conglomerado); ;0;2;4;6;12036;9807;2839;
81;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;PORTO SEGURO (conglomerado);16,54;38;78;83;199;2296267; ;2296267;
82;2020;1º;Menos de quatro milhões de clientes;Banco/financeira;1800019;PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;75,25;19;60;32;111;252491;3783;248712;
83;2020;1º;Mais de quatro milhões de clientes;Banco/financeira;27351731;REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;1,7;9;38;34;81;5275046;17;5275031;
84;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;RENDIMENTO (conglomerado); ;4;3;3;10;22276;17591;7712;
85;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;RODOBENS (conglomerado); ;0;1;2;3;12767;1603;11629;
86;2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;SAFRA (conglomerado);463,34;1247;1323;750;3320;2691273;1073154;1773314;
