ano,trimestre,categoria,tipo,cnpj_if,instituicao_financeira,indice,quantidade_de_reclamacoes_reguladas_procedentes,quantidade_de_reclamacoes_reguladas_outras,quantidade_de_reclamacoes_nao_reguladas,quantidade_total_de_reclamacoes,quantidade_total_de_clientes_ccs_e_scr,quantidade_de_clientes_ccs,quantidade_de_clientes_scr
2020,3º,menos de quatro milhões de clientes,conglomerado, ,abc-brasil (conglomerado),,1,3,0,4,24119,22587,3303
2020,3º,menos de quatro milhões de clientes,conglomerado, ,agibank (conglomerado),62.34,63,199,85,347,1010427,707977,645730
2020,3º,menos de quatro milhões de clientes,banco/financeira,36321990,"agoracred s/a sociedade de crédito, financiamento e investimento",,4,1,0,5,382287,132,382156
2020,3º,menos de quatro milhões de clientes,banco/financeira,27214112,"al5 s.a. crédito, financiamento e investimento",,1,0,2,3,10041,3099,8686
2020,3º,menos de quatro milhões de clientes,conglomerado, ,alfa (conglomerado),87.5,36,72,26,134,411418,268139,144423
2020,3º,menos de quatro milhões de clientes,conglomerado, ,andbank (conglomerado),,0,8,8,16,4305,4304,51
2020,3º,menos de quatro milhões de clientes,banco/financeira,23862762,"avista s.a. crédito, financiamento e investimento",,27,6,8,41,1272781,1271301,260038
2020,3º,menos de quatro milhões de clientes,banco/financeira,03532415,banco abn amro s.a.,,0,0,1,1,140,104,43
2020,3º,menos de quatro milhões de clientes,banco/financeira,54403563,banco arbi s.a.,,2,0,0,2,13286,4188,9168
2020,3º,menos de quatro milhões de clientes,banco/financeira,02992446,banco cnh industrial capital s.a.,,1,0,1,2,26883,1240,25942
2020,3º,mais de quatro milhões de clientes,banco/financeira,08357240,banco csf s.a.,17.06,130,104,90,324,7618737,0,7618737
2020,3º,menos de quatro milhões de clientes,banco/financeira,04902979,banco da amazonia s.a.,,6,4,8,18,536163,449958,196881
2020,3º,menos de quatro milhões de clientes,banco/financeira,33042151,banco de la nacion argentina,,0,0,1,1,224,210,25
2020,3º,menos de quatro milhões de clientes,banco/financeira,05040481,banco de lage landen brasil s.a.,,2,0,0,2,35565,2,35563
2020,3º,menos de quatro milhões de clientes,banco/financeira,92874270,banco digimais s.a.,269.02,67,20,32,119,249049,129092,158567
2020,3º,menos de quatro milhões de clientes,banco/financeira,27098060,banco digio s.a.,62.83,85,124,95,304,1352697,263791,1338101
2020,3º,menos de quatro milhões de clientes,banco/financeira,13009717,banco do estado de sergipe s.a.,,19,21,23,63,1093478,878043,593504
2020,3º,menos de quatro milhões de clientes,banco/financeira,04913711,banco do estado do pará s.a.,,11,17,27,55,820900,734365,347559
2020,3º,mais de quatro milhões de clientes,banco/financeira,07237373,banco do nordeste do brasil s.a.,1.58,13,16,45,74,8195746,7615138,2967535
2020,3º,menos de quatro milhões de clientes,banco/financeira,58616418,banco fibra s.a.,,0,1,4,5,163904,4150,160288
2020,3º,menos de quatro milhões de clientes,banco/financeira,90731688,banco ford s.a.,,0,0,2,2,408,194,226
2020,3º,menos de quatro milhões de clientes,banco/financeira,04866275,banco inbursa s.a.,,0,2,6,8,11855,10,11846
2020,3º,menos de quatro milhões de clientes,banco/financeira,59118133,banco luso brasileiro s.a.,,0,0,1,1,10245,4703,5903
2020,3º,menos de quatro milhões de clientes,banco/financeira,07441209,banco moneo s.a.,,0,1,0,1,1258,4,1256
2020,3º,menos de quatro milhões de clientes,banco/financeira,78632767,banco ourinvest s.a.,,0,0,2,2,39217,36646,2591
2020,3º,menos de quatro milhões de clientes,banco/financeira,61820817,banco paulista s.a.,,0,1,0,1,24424,9146,15539
2020,3º,menos de quatro milhões de clientes,banco/financeira,00517645,banco ribeirao preto s.a.,,1,0,0,1,4711,4463,2691
2020,3º,menos de quatro milhões de clientes,banco/financeira,00795423,banco semear s.a.,,0,3,3,6,274701,2843,271968
2020,3º,menos de quatro milhões de clientes,banco/financeira,07679404,banco topázio s.a.,,0,3,3,6,29098,17079,14612
2020,3º,menos de quatro milhões de clientes,banco/financeira,03215790,banco toyota do brasil s.a.,,2,5,5,12,170340,15291,156109
2020,3º,menos de quatro milhões de clientes,banco/financeira,17351180,banco triangulo s.a.,,9,20,20,49,1986156,230353,1800317
2020,3º,mais de quatro milhões de clientes,conglomerado, ,bancoob (conglomerado),2.89,12,36,15,63,4139244,2079099,2536358
2020,3º,menos de quatro milhões de clientes,conglomerado, ,banestes (conglomerado),,22,31,31,84,1312082,1266234,470608
2020,3º,mais de quatro milhões de clientes,conglomerado, ,banrisul (conglomerado),27.15,138,599,129,866,5081434,3779138,3988413
2020,3º,menos de quatro milhões de clientes,conglomerado, ,barigui (conglomerado),,24,16,5,45,27533,1234,26565
2020,3º,mais de quatro milhões de clientes,conglomerado, ,bb (conglomerado),27.66,1878,3104,3629,8611,67894151,64226383,29491465
2020,3º,menos de quatro milhões de clientes,banco/financeira,45283173,bbva brasil banco de investimento s.a.,,0,0,1,1,0,0,0
