codigo_servico,servico,unidade,data_vigencia,valor_maximo,tipo_valor,periodicidade,cnpj
0101,confecção de ficha cadastral,por cliente,2021-06-09,0.0,real,por evento,36321990
0701,entrada por borderô (listagem de titulos),por titulo,2021-06-10,0.0,real,por evento,36321990
0702,entrada por meio magnético,por titulo,2021-06-10,0.0,real,por evento,36321990
0703,entrada sem registro - por boleto emitido pelo cliente,por titulo,2021-06-10,0.0,real,por evento,36321990
0705,envio para protesto,por titulo,2021-06-10,0.0,real,por evento,36321990
0706,sustação de protesto,por titulo,2021-06-10,0.0,real,por evento,36321990
0707,devolução de título,por titulo,2021-06-10,0.0,real,por evento,36321990
0801,abertura de crédito,por operacao,2021-06-10,0.0,real,por evento,36321990
0802,renegociação de dívida,por operacao,2021-06-10,0.0,real,por evento,36321990
0803,substituição de garantia,por operacao,1996-07-25,0.0,real,por evento,36321990
0804,custódia de cheque pré-datado,por operacao,2009-12-31,0.0,real,por evento,36321990
0805,rescisão contratual (quitação antecipada),por operacao,2009-12-31,0.0,real,por evento,36321990
0901,segunda via de documento,por copia,1996-07-25,0.0,real,por evento,36321990
0902,ressarcimento de despesas-telefonema,por chamada,1996-07-25,0.0,real,por evento,36321990
0903,ressarcimento de despesas-fax,por folha,1996-07-25,0.0,real,por evento,36321990
0904,envelopamento de documentos,por envelope,1996-07-25,0.0,real,por evento,36321990
0905,pagamento de funcionários via relação,por funcionario,1996-07-25,0.0,real,por evento,36321990
0101,confecção de ficha cadastral,por cliente,2016-10-16,150.0,real,por evento,23862762
0102,renovação de ficha cadastral,por cliente,2016-10-16,70.0,real,a cada 360 dias,23862762
0103,consultas a serviços de proteção ao crédito,por consulta,2016-10-16,40.0,real,por evento,23862762
0313,"cobrança de cheque por compensação com vl. = ou > r$ 5.000,00(vl.fx+%)",por cheque,2016-10-16,0.0,real,por evento,23862762
0502,emissão de doc c,por operacao,2016-10-16,20.0,real,por evento,23862762
0503,emissão de doc d,por operacao,2016-10-16,20.0,real,por evento,23862762
0504,ordem de pagamento,por operacao,2016-10-16,60.0,real,por evento,23862762
0505,depósito em outra agência,por operacao,2016-10-16,60.0,real,por evento,23862762
0506,transferência eletrônica disponível - ted,por operacao,2016-10-16,20.0,real,por evento,23862762
0705,envio para protesto,por titulo,2016-10-16,50.0,real,por evento,23862762
0706,sustação de protesto,por titulo,2016-10-16,50.0,real,por evento,23862762
0707,devolução de título,por titulo,2016-10-16,20.0,real,por evento,23862762
0801,abertura de crédito,por operacao,2016-10-16,200.0,real,por evento,23862762
0802,renegociação de dívida,por operacao,2016-10-16,80.0,real,por evento,23862762
0803,substituição de garantia,por operacao,2016-10-16,120.0,real,por evento,23862762
0901,segunda via de documento,por copia,2016-10-16,15.0,real,por evento,23862762
0101,confecção de ficha cadastral,por cliente,2020-06-15,50000.0,real,por evento,27214112
0102,renovação de ficha cadastral,por cliente,2020-06-15,50000.0,real,a cada 365 dias,27214112
0801,abertura de crédito,por operacao,2021-03-29,3.0,percentual,por evento,27214112
0802,renegociação de dívida,por operacao,2021-03-29,3.0,percentual,por evento,27214112
0803,substituição de garantia,por operacao,2020-06-15,30000.0,real,por evento,27214112
0804,custódia de cheque pré-datado,por operacao,2020-06-15,300.0,real,por evento,27214112
0901,segunda via de documento,por copia,2017-11-24,50.0,real,por evento,27214112
0101,confecção de ficha cadastral,por cliente,2013-09-27,0.0,real,por evento,03532415
0102,renovação de ficha cadastral,por cliente,2013-09-27,0.0,real,a cada 0 dias,03532415
0103,consultas a serviços de proteção ao crédito,por consulta,2013-09-27,0.0,real,por evento,03532415
0502,emissão de doc c,por operacao,2013-09-26,0.0,real,por evento,03532415
0503,emissão de doc d,por operacao,2013-09-26,0.0,real,por evento,03532415
0506,transferência eletrônica disponível - ted,por operacao,2013-09-26,0.0,real,por evento,03532415
0801,abertura de crédito,por operacao,2013-09-26,0.0,real,por evento,03532415
0802,renegociação de dívida,por operacao,2013-09-27,0.0,real,por evento,03532415
0803,substituição de garantia,por operacao,2013-09-26,0.0,real,por evento,03532415
0805,rescisão contratual (quitação antecipada),por operacao,2013-09-26,0.0,real,por evento,03532415
1001,exportação: edição de contrato de câmbio,por operacao,2017-03-28,500.0,real,por evento,03532415
0101,confecção de ficha cadastral,por cliente,2017-08-17,200.0,real,por evento,33042151
0102,renovação de ficha cadastral,por cliente,2017-08-17,200.0,real,a cada 360 dias,33042151
0103,consultas a serviços de proteção ao crédito,por consulta,1996-07-25,0.0,real,por evento,33042151
0301,talão-10 folhas,por talao,2017-08-17,10.0,real,por evento,33042151
0302,talão-20 folhas (segundo talão no mês),por talao,2017-08-17,20.0,real,por evento,33042151
0303,cheque administrativo,por cheque,2015-01-08,30.0,real,por evento,33042151
